UNITID,TUITION2
100636,0
100654,4872
100663,5806
100690,7560
100706,6352
100724,6312
100751,7900
100760,2700
100812,4110
100830,6180
100858,7008
100937,26900
101028,2700
101073,7200
101116,15285
101143,2700
101161,2730
101189,13740
101240,2700
101286,2700
101295,2700
101301,2700
101365,10908
101435,18512
101453,8520
101462,2700
101471,1080
101480,6780
101499,2700
101505,2700
101514,2700
101541,13080
101569,2700
101587,5464
101602,2700
101648,6000
101675,9186
101693,15590
101709,7230
101736,2700
101879,4440
101897,2700
101912,13434
101949,2700
101958,7800
101994,2700
102030,2700
102049,21722
102058,5250
102067,2700
102076,2700
102094,5448
102234,25110
102261,11250
102270,12524
102298,10175
102313,2700
102368,5184
102377,16100
102395,10800
102429,2880
102553,4755
102580,6840
102614,4755
102632,4755
102669,26250
102845,17750
103361,4065
103644,15024
103723,12425
103778,.
103787,9750
104151,7793
104160,1440
104179,7614
104188,27000
104346,1950
104364,11340
104425,1490
104531,14860
104577,1520
104586,28560
104665,30000
104708,1704
104717,16500
105145,1704
105154,1704
105163,17748
105172,17748
105206,2070
105297,720
105330,5431
105349,1344
105367,9840
105428,1704
105516,9720
105525,1284
105589,24864
105668,1704
105747,1704
105792,1704
105899,15264
106102,10480
106148,1488
106245,5228
106263,6032
106306,6592
106342,21100
106397,5211
106412,3750
106449,1944
106458,5100
106467,4080
106485,3600
106546,6400
106625,1680
106704,5235
106713,9750
106795,1800
106810,8400
106829,1350
106883,2190
106980,2808
106999,1656
107044,13590
107071,4272
107080,30410
107141,18844
107318,1920
107327,1792
107460,1944
107488,1890
107512,18805
107521,1800
107549,1800
107558,19930
107585,2400
107600,9050
107619,2010
107637,2340
107664,2460
107725,1844
107743,1680
107877,11200
107974,1920
107983,5340
107992,2640
108092,3570
108232,17760
108250,17748
108269,.
108667,728
108807,722
108852,28620
108861,.
108870,.
109013,20511
109086,17968
109208,0
109350,780
109651,31668
109785,28000
109819,728
109907,624
110051,18300
110060,8200
110097,28852
110185,26160
110219,12000
110246,624
110307,.
110316,22140
110334,728
110361,22854
110370,34872
110398,.
110404,34989
110413,30750
110422,0
110468,16350
110486,0
110495,0
110510,0
110529,0
110538,0
110547,0
110556,0
110565,0
110574,0
110583,0
110592,0
110608,0
110617,0
110635,9402
110644,9402
110653,9402
110662,9402
110671,9402
110680,9402
110699,.
110705,9402
110714,9402
110778,.
110918,7080
111009,17771
111081,36166
111188,0
111391,.
111434,732
111461,624
111887,728
111896,728
111920,0
111939,676
111948,37500
111966,11200
112075,25400
112084,21610
112127,.
112172,780
112190,0
112251,.
112260,39995
112312,6432
112385,624
112394,18744
112446,45892
112525,.
112561,624
112570,16785
112686,1248
112826,738
113096,0
113111,624
113193,820
113218,754
113236,624
113333,765
113537,11500
113573,728
113582,16800
113607,14860
113634,738
113698,35220
113704,.
113856,698
113980,1248
114114,.
114266,728
114354,25011
114372,19900
114390,25011
114415,25011
114433,0
114549,.
114585,.
114716,765
114734,.
114789,624
114813,23640
114840,.
114859,624
114938,676
115001,624
115083,13680
115126,624
115214,.
115296,754
115393,736
115409,40133
115454,12975
115472,12975
115490,12975
115515,12975
115533,12975
115728,28350
115746,.
115755,0
115773,10116
115861,733
116226,15950
116439,793
116466,17748
116475,17748
116484,17748
116624,.
116712,19200
116846,23568
117052,624
117104,12000
117113,18648
117140,29800
117168,22600
117195,675
117247,728
117274,624
117520,.
117557,8845
117575,12204
117627,24840
117636,25680
117645,728
117672,12000
117690,698
117706,698
117715,698
117724,698
117733,698
117751,25250
117788,698
117803,.
117867,698
117894,738
117928,18648
117946,35740
118347,780
118541,25134
118684,624
118693,33150
118709,.
118718,624
118772,728
118888,36428
118912,624
118930,624
118976,624
119058,32000
119067,624
119137,780
119164,624
119173,29232
119216,780
119234,17000
119270,22500
119331,624
119359,17513
119368,13428
119456,15560
119508,12096
119544,6720
119605,11088
119678,.
119775,21900
120166,7200
120184,28200
120254,39870
120290,624
120342,624
120403,32200
120421,780
120537,22890
120698,13140
120740,.
120768,21864
120795,.
120838,15400
120865,24996
120883,33600
120944,.
120953,728
120971,772
121044,672
121071,13440
121150,38960
121257,37520
121275,25120
121309,26500
121345,38087
121363,728
121381,14062
121619,624
121628,.
121691,35240
121707,624
121886,624
121901,780
121983,12960
122117,.
122180,0
122205,728
122296,35686
122339,624
122366,14440
122375,624
122384,624
122409,0
122436,36950
122454,32424
122506,34900
122597,0
122603,.
122612,36000
122649,.
122658,624
122685,12825
122694,13318
122728,18717
122746,728
122755,0
122791,624
122843,13479
122889,728
122931,37368
122977,624
123013,708
123095,.
123165,40236
123208,16011
123217,624
123280,9600
123299,624
123341,624
123396,10000
123448,.
123457,21000
123484,624
123509,780
123527,0
123554,35280
123563,728
123572,0
123633,7650
123651,26342
123800,728
123855,.
123916,.
123943,.
123952,27500
123961,40384
123970,.
124113,780
124283,.
124292,22400
124487,9630
125028,780
125091,624
125170,728
125231,9360
125462,624
125471,698
125480,.
125499,624
125718,.
125727,33400
125763,35222
125897,28742
126012,.
126030,.
126049,.
126076,10900
126119,780
126182,2952
126207,2328
126289,2310
126359,9656
126401,14271
126410,10450
126562,6216
126580,5016
126605,13274
126614,7018
126669,17035
126678,38748
126702,17532
126711,2460
126748,2310
126775,11550
126818,5256
126827,10440
126863,2886
126872,22536
126924,8200
126942,2310
126979,.
127024,13921
127060,35604
127185,3380
127200,2310
127273,.
127389,4144
127556,5114
127565,3107
127617,2310
127653,24995
127680,12110
127699,12110
127714,9450
127732,2310
127741,4680
127778,2887
127787,14256
127820,2888
127884,2311
127909,2310
127918,29998
127945,26832
128106,4068
128151,2130
128258,2310
128328,0
128391,3422
128425,7700
128498,23904
128577,3024
128586,5350
128683,18400
128726,8790
128744,24300
128771,4023
128780,4872
128902,43695
129002,17468
129020,8064
129154,18000
129215,4023
129242,38450
129367,3024
129428,.
129446,11840
129491,.
129525,28585
129534,9600
129543,3024
129613,14470
129686,23384
129695,3024
129729,3024
129756,3024
129774,25237
129808,3024
129941,29500
130004,3024
130040,3024
130110,15600
130174,17468
130183,24000
130217,3024
130226,32850
130253,31224
130271,11700
130314,27580
130396,3024
130448,12834
130493,4023
130581,.
130590,40410
130606,3024
130624,0
130697,41814
130776,4023
130785,.
130794,38300
130837,4500
130891,2598
130907,2598
130916,2598
130934,5901
130943,9040
130989,18360
131098,19700
131113,9240
131159,36180
131283,33580
131308,28980
131399,6380
131405,.
131450,10850
131469,41182
131496,39768
131520,17100
131803,14085
131830,8000
131876,19750
131973,.
132338,17604
132408,8400
132471,27200
132523,.
132602,13452
132657,29400
132693,1752
132709,1668
132842,11304
132851,1685
132879,8400
132903,3347
132976,3084
133021,2190
133085,15440
133386,2847
133465,15285
133492,32932
133508,2157
133526,10470
133553,28560
133650,2870
133669,2296
133702,2211
133711,13860
133809,11600
133872,9000
133881,31734
133951,3200
133960,2190
133979,12024
133997,16560
134079,23578
134097,2870
134130,3530
134149,13356
134237,18635
134307,2150
134343,1891
134422,10320
134495,1752
134510,4840
134574,10700
134608,2208
134680,18480
134811,17604
134909,17748
134945,26600
135063,7320
135081,13376
135160,2088
135188,2760
135364,5016
135391,2190
135522,2445
135610,9960
135717,2190
135726,36962
135939,15667
135957,15234
136011,15000
136066,15472
136075,18740
136145,1983
136172,2930
136206,18264
136215,21600
136233,2090
136288,13974
136330,23100
136358,2138
136400,2026
136473,1676
136516,2190
136659,2188
136701,.
136765,2385
136774,29800
136950,37640
137032,17500
137078,2190
137096,1666
137148,12960
137209,2190
137272,17000
137281,2142
137315,2765
137351,5124
137476,22770
137537,14800
137546,31374
137564,15830
137759,2214
137777,10250
137801,14148
137810,18864
137847,22116
137953,7250
137962,11024
138187,2129
138275,15580
138293,18742
138309,13500
138354,3062
138558,2160
138600,31068
138655,7800
138664,7800
138682,2025
138691,1892
138716,3132
138761,11758
138789,3432
138813,17496
138840,2025
138868,15150
138901,1920
138929,.
138947,17244
138956,2025
138983,4274
139010,1920
139074,16319
139144,24420
139153,8190
139199,19870
139205,15470
139214,10860
139250,2694
139278,2025
139287,5520
139311,3276
139348,.
139357,2160
139366,3281
139384,2025
139393,25476
139463,2016
139533,14860
139579,15285
139621,1920
139630,13520
139658,38600
139700,1920
139719,4274
139746,4520
139755,5873
139764,3133
139773,2016
139861,5013
139904,3960
139931,3283
139940,7070
139959,5873
139968,2120
139986,2025
139995,9000
140003,9075
140012,1620
140076,2025
140085,2025
140146,.
140164,3283
140234,22148
140243,2025
140252,7833
140304,1620
140322,2160
140331,2025
140340,11216
140401,7070
140447,30360
140483,2009
140553,20394
140562,.
140599,2025
140669,3340
140678,2025
140696,27700
140720,10896
140818,18000
140827,17400
140872,16996
140942,2025
140951,29070
140960,4274
140988,16700
140997,2398
141006,2025
141015,15065
141060,18709
141097,3558
141158,2025
141167,12000
141185,15760
141237,14040
141255,2160
141264,3283
141307,2398
141325,18000
141334,3696
141361,20280
141468,12975
141486,17600
141565,5112
141574,7584
141644,15700
141680,2112
141796,2112
141802,2112
141811,2112
141839,2112
141936,.
141981,4656
141990,2112
142090,9000
142115,3555
142179,1840
142276,3800
142285,0
142294,20600
142328,3794
142337,17748
142443,2608
142461,22810
142522,3360
142559,3520
142832,.
142887,25200
143048,35550
143084,32235
143118,18600
143215,6020
143233,.
143279,5790
143288,14176
143297,17088
143358,25150
143613,5265
143659,.
143853,.
143978,.
144005,6145
144014,.
144050,40188
144157,6259
144166,6259
144175,6259
144184,6259
144193,6259
144209,6259
144218,6259
144281,19140
144351,23918
144467,19975
144564,5250
144740,28240
144759,14860
144865,9157
144883,15000
144892,6835
144944,8232
144962,28600
144971,17275
145239,14580
145275,.
145336,6688
145354,9573
145372,20766
145460,17550
145497,17850
145521,3576
145558,.
145600,9133
145619,22500
145628,.
145637,11003
145646,35076
145682,6150
145691,22350
145707,6308
145725,30515
145770,12960
145813,8051
145831,7573
145886,.
146010,14580
146205,6480
146241,.
146278,6810
146296,7011
146339,24150
146348,4308
146366,4800
146393,15700
146418,8640
146427,32679
146472,6440
146481,34885
146490,.
146506,5400
146533,12210
146603,7830
146612,23780
146621,23500
146667,13680
146676,21000
146685,4980
146719,31040
146728,.
146755,13050
146816,12000
146825,18838
146977,.
147004,9153
147013,22330
147031,.
147129,9000
147165,13200
147244,26780
147341,26900
147369,8000
147378,7260
147396,13900
147411,6624
147536,18315
147590,13185
147660,27984
147679,19900
147697,.
147703,7020
147749,20640
147767,39840
147776,5520
147800,8061
147828,24750
147916,7590
148007,5832
148016,23625
148131,22240
148140,10200
148177,17496
148256,3645
148292,12763
148335,20100
148380,7890
148399,11272
148405,24750
148487,23000
148496,25560
148511,22500
148575,14400
148584,24292
148593,13128
148627,24790
148654,6000
148672,8160
148724,.
148821,3930
148849,26510
148876,8400
148885,.
148937,3840
148982,.
148991,6420
149019,9200
149028,18886
149222,6975
149231,5668
149310,13500
149329,12000
149365,8340
149505,21398
149514,22970
149532,6966
149639,22270
149727,6307
149763,20986
149772,6588
149781,27580
149842,8532
150048,13050
150066,23940
150136,7508
150145,21990
150163,29740
150172,14000
150215,.
150251,11700
150288,.
150400,34440
150455,35920
150534,27310
150604,24470
150640,2500
150668,24500
150677,21700
150756,26950
150774,19700
150941,21850
150978,3137
150987,3137
150996,3137
151005,3137
151014,3137
151023,3137
151032,3137
151041,3137
151050,3137
151069,3137
151078,3137
151087,3137
151096,3137
151102,5712
151111,7255
151157,11760
151166,11760
151184,11760
151193,11760
151209,11760
151236,11760
151245,11760
151263,22020
151290,22060
151306,5540
151324,7514
151333,5663
151342,5843
151351,8124
151360,5752
151379,5672
151388,5676
151458,13080
151467,13620
151494,17748
151500,17748
151519,16542
151537,14400
151616,9264
151625,8735
151777,24100
151786,24960
151801,21214
151810,13200
151865,.
151944,8469
151962,9000
152080,39412
152099,15600
152248,5374
152266,5519
152318,35595
152336,22000
152363,25080
152381,23750
152390,30360
152451,.
152497,14890
152530,26150
152567,25300
152600,28590
152637,4133
152673,30400
152798,13458
152822,12900
152992,22719
153001,26306
153108,25862
153126,23800
153144,30540
153162,30870
153214,3750
153241,11200
153250,22800
153269,26400
153278,21000
153296,3192
153302,11904
153311,3540
153320,13414
153366,20680
153375,19872
153384,36948
153409,15327
153418,15327
153427,11025
153445,3584
153472,3120
153524,3600
153533,4320
153542,3300
153603,6102
153621,22050
153630,3570
153658,6128
153737,3540
153825,24910
153834,33330
153861,24000
153922,3192
153977,13500
154004,21810
154013,23260
154022,8928
154059,3491
154095,6102
154101,23330
154110,4384
154129,3780
154156,.
154174,7425
154235,23670
154262,14580
154350,26444
154378,3780
154396,3660
154493,22350
154518,18650
154527,28220
154536,.
154572,2832
154590,15850
154642,1504
154688,22200
154697,1728
154712,20475
154721,19426
154749,20700
154767,9015
154776,8781
154794,16200
154800,1995
154837,6480
154855,17800
154907,2070
154925,880
154934,1664
154952,1767
154998,1120
155007,5488
155025,3614
155052,2700
155061,3034
155070,11000
155089,19890
155098,1320
155104,1376
155140,0
155177,20374
155186,1710
155195,1984
155201,1040
155210,2700
155292,1590
155317,7167
155335,19872
155399,6672
155414,20200
155450,1320
155487,3080
155496,11517
155511,19065
155520,19250
155566,1440
155593,4312
155627,20000
155636,9480
155681,3868
155715,1536
155812,19500
155830,2848
155858,1280
155900,20506
155937,19000
155973,20170
156082,4968
156107,4943
156125,4722
156189,8100
156213,23132
156222,.
156231,3120
156286,29160
156295,0
156338,3120
156356,16950
156365,19310
156392,3120
156408,32600
156417,5220
156541,16664
156620,6624
156648,3120
156727,.
156745,27640
156790,3120
156851,3120
156860,3120
156921,3120
157021,10368
157030,5850
157058,4920
157076,17980
157085,7656
157100,14976
157207,.
157216,18720
157234,3000
157270,17733
157289,8424
157298,.
157304,3120
157331,3120
157359,12100
157377,18900
157386,6492
157401,5388
157438,3120
157447,7128
157465,13920
157483,3120
157535,15250
157553,3120
157599,8753
157632,15760
157696,9128
157711,3120
157739,3120
157748,12960
157757,17550
157766,15420
157793,16500
157809,22797
157818,25650
157863,18260
157951,7560
158088,726
158219,726
158325,8550
158334,1500
158352,726
158431,1452
158477,22880
158662,2280
158723,9590
158769,726
158802,13000
158884,1678
159009,3018
159258,2280
159267,2280
159373,2804
159382,2960
159391,3968
159407,2488
159416,3016
159443,726
159568,11550
159647,3640
159656,30468
159717,2916
159939,4152
159948,5318
159966,3024
159993,3013
160010,726
160029,.
160038,3002
160065,7824
160074,7920
160409,12055
160481,1739
160524,15035
160579,2110
160612,2993
160621,4584
160630,2326
160649,1778
160658,4426
160667,726
160685,1890
160755,38300
160904,16100
160913,726
160940,12019
160959,33885
160968,13350
160977,41120
161004,41150
161022,7245
161059,8190
161077,2520
161086,39640
161138,2520
161165,13140
161192,2520
161208,18000
161217,6240
161226,8032
161235,6330
161244,6330
161253,8010
161299,8280
161341,6330
161457,28300
161484,2520
161509,27965
161518,26400
161545,2520
161554,7260
161563,21100
161572,21400
161581,2520
161688,5700
161767,5070
161864,2640
161873,5484
161882,17930
162007,4415
162061,19890
162104,5400
162122,4392
162168,4676
162210,18900
162283,3633
162557,5352
162584,5150
162609,6048
162654,34626
162681,15048
162690,3744
162706,3936
162760,29440
162779,5970
162928,40680
163046,37950
163204,5688
163259,7097
163268,6679
163286,6763
163295,34550
163338,4235
163426,6570
163453,4408
163462,29650
163532,9000
163578,27600
163657,4008
163842,15216
163851,4960
163912,11325
163921,7720
163976,41792
164076,5336
164085,.
164155,0
164173,20580
164207,11281
164216,36078
164243,.
164270,33280
164313,4728
164438,8800
164447,26700
164465,40160
164474,.
164492,25632
164562,30940
164571,15408
164580,39040
164614,8996
164632,25515
164641,18959
164720,25530
164739,35580
164748,31300
164775,624
164872,16442
164915,.
164924,39880
164933,33800
164988,39314
165015,38994
165024,910
165033,576
165112,576
165149,17500
165167,13140
165194,576
165264,24038
165334,36100
165495,.
165529,29300
165574,29140
165644,22982
165662,30752
165671,30600
165699,25848
165705,.
165802,23625
165820,970
165866,970
165884,14250
165936,28210
165945,.
165981,624
166018,40481
166027,34976
166045,22500
166054,19136
166124,39330
166133,3096
166276,11212
166391,25000
166407,26000
166452,29150
166489,28850
166513,1454
166601,14250
166629,1714
166638,1714
166647,576
166656,24700
166674,9000
166683,38940
166692,1342
166708,.
166717,.
166823,576
166850,30780
166869,29200
166887,576
166911,23850
166939,40070
166948,24250
166957,600
166984,30345
167057,34500
167093,.
167181,.
167215,.
167224,22400
167251,24000
167260,28570
167288,1030
167312,600
167321,18552
167358,36380
167376,600
167394,25780
167455,21400
167464,.
167525,3960
167534,576
167598,30300
167631,624
167677,13750
167729,910
167783,31280
167792,41160
167835,38640
167899,28160
167905,750
167987,1417
167996,32620
168005,28414
168148,40664
168218,39420
168227,22870
168254,27762
168263,970
168281,40790
168290,27900
168342,41190
168421,38140
168430,970
168528,25560
168546,30650
168591,27340
168607,4140
168740,21550
168786,23206
168838,7380
168847,7380
168883,4248
169080,24645
169099,.
169187,9622
169220,.
169248,8932
169275,3545
169327,16560
169363,20982
169424,.
169442,29940
169479,11544
169521,3720
169576,9360
169628,.
169655,10600
169716,30660
169734,15600
169761,15600
169798,7148
169910,9930
169974,2880
169983,28672
169992,3596
170000,14250
170037,20808
170055,4704
170082,9088
170091,11280
170240,3120
170301,26350
170417,17748
170444,3216
170532,34017
170541,3906
170550,3844
170587,4470
170620,3420
170639,8664
170657,4200
170675,24263
170790,3782
170806,13740
170842,16800
170967,16424
170976,11648
171100,11670
171128,11175
171137,8460
171146,7809
171155,3600
171225,3900
171234,4380
171298,7380
171304,4185
171395,3094
171456,7248
171483,4700
171492,18264
171535,3387
171571,9716
171599,19710
171881,15866
172033,15170
172051,6870
172200,3540
172264,19170
172291,5503
172307,3736
172334,19996
172422,16200
172440,18474
172477,.
172608,9600
172617,3144
172635,2400
172644,8610
172671,3192
172699,8182
172705,.
172866,18526
172918,4958
172954,4632
172963,3919
172972,3100
173045,28240
173063,4500
173115,4800
173124,6577
173142,20650
173160,27950
173179,.
173203,4610
173258,41076
173300,26950
