UNITID,09_Tuition,10_Tuition,11_Tuition
100636,0,0,0
100654,3948,4872,5328
100663,4224,5806,6264
100690,7200,7560,7920
100706,5580,6352,8094
100724,5616,6312,6312
100751,7000,7900,8600
100760,2130,2700,2700
100812,3600,4110,4590
100830,5640,6180,6930
100858,6240,7008,7296
100937,25800,26900,28250
101028,2130,2700,3210
101073,7200,7200,7920
101116,14685,15285,15735
101143,2130,2700,2996
101161,2130,2730,3210
101189,12720,13740,14730
101240,2130,2700,3210
101286,2130,2700,2760
101295,2130,2700,3210
101301,2130,2700,3210
101365,10220,10908,11040
101435,19990,18512,16702
101453,8709,8520,8952
101462,2130,2700,2568
101471,1944,1080,3852
101480,5970,6780,7650
101499,2130,2700,3210
101505,2130,2700,3210
101514,2130,2700,2760
101541,12340,13080,13600
101569,2130,2700,3210
101587,5060,5464,5848
101602,2130,2700,3210
101648,6000,6000,6000
101675,8506,9186,9738
101693,14500,15590,16450
101709,6510,7230,8040
101736,2130,2700,3210
101879,4008,4440,4896
101897,2130,2700,3210
101912,13042,13434,13838
101949,2272,2700,3210
101958,7800,7800,8400
101994,2130,2700,3210
102030,2130,2700,3210
102049,20200,21722,23423
102058,3600,5250,5250
102067,2130,2700,3210
102076,2130,2700,3210
102094,4860,5448,5904
102234,23910,25110,26360
102261,10080,11250,11250
102270,12160,12524,13026
102298,8140,10175,10175
102313,2130,2700,2568
102368,4632,5184,5640
102377,15630,16100,17070
102395,10080,10800,11880
102429,2130,2880,3210
102553,4500,4755,5115
102614,4500,6840,6840
102632,4500,4755,5115
102669,24300,4755,5115
102845,17750,26250,27000
103361,3990,17750,17725
103644,15024,4065,3990
103723,31175,15024,12420
103778,.,12425,12600
103787,7260,.,.
103963,31864,9750,10500
104151,5997,7793,15790
104160,1440,1440,9208
104179,6540,7614,1680
104188,25560,27000,9114
104346,1736,1950,27540
104364,10584,11340,2100
104425,1352,1490,11680
104531,14080,14860,1512
104577,1520,1520,15294
104586,27480,28560,1600
104665,30000,30000,28680
104708,1704,1704,30000
104717,16500,16500,1824
105145,1704,1704,9198
105154,1704,1704,1824
105163,16848,17748,1824
105172,16848,17748,17748
105206,1920,2070,17748
105297,720,720,2220
105330,6092,5431,720
105349,1248,1344,6514
105367,9480,9840,1440
105428,1704,1704,10440
105516,8760,9720,1824
105525,1236,1284,10219
105589,23232,24864,1404
105668,1704,1704,26208
105747,1704,1704,1824
105792,1704,1704,1824
105899,14400,15264,1824
106102,9792,10480,17982
106148,1392,1488,10560
106245,5040,5228,1608
106263,5554,6032,5490
106306,6400,6592,6795
106342,19424,21100,6960
106397,5010,5211,22682
106412,3540,3750,5888
106449,1872,1944,3975
106458,4890,5100,1992
106467,4008,4080,5304
106485,3510,3600,4320
106546,6400,6400,3780
106625,1680,1680,6592
106704,5205,5235,1680
106713,9150,9750,5387
106795,1740,1800,10500
106810,7650,8400,1920
106829,1350,1350,8800
106883,2040,2190,1350
106980,2700,2808,2340
106999,1584,1656,2988
107044,13140,13590,1728
107071,4080,4272,14160
107080,28713,30410,4488
107141,18032,18844,32509
107318,1800,1920,19834
107327,1736,1792,2208
107460,1848,1944,1820
107488,1890,1890,2040
107512,18038,18805,1890
107521,1770,1800,19545
107549,1680,1800,1860
107558,18300,19930,1800
107585,2310,2400,21450
107600,8620,9050,2490
107619,1920,2010,11350
107637,2040,2340,2110
107664,2400,2460,2400
107725,1770,1844,2520
107743,1632,1680,1920
107877,10600,11200,1752
107974,1824,1920,11800
107983,5100,5340,2016
107992,2550,2640,5580
108092,3420,3570,2790
108232,17760,17760,3024
108250,16848,17748,17760
108269,.,.,17748
108667,728,728,.
108807,722,722,1008
108852,26500,28620,1008
108861,.,.,29900
108870,.,.,.
109013,20511,20511,.
109086,17445,17968,18866
109208,0,0,0
109350,780,780,780
109651,31076,31668,33544
109785,26950,28000,29100
109819,624,728,1008
109907,624,624,864
110051,17600,18300,8200
110060,8200,8200,29908
110097,27744,28852,17440
110185,26160,26160,11645
110219,11920,12000,864
110246,624,624,.
110307,.,.,23040
110316,21285,22140,1008
110334,728,728,23998
110361,21866,22854,36960
110370,32904,34872,.
110398,.,.,36387
110404,33324,34989,32610
110413,28980,30750,5472
110422,0,0,16350
110468,15000,16350,5472
110486,0,0,5472
110495,0,0,5472
110510,0,0,5472
110529,0,0,5472
110538,0,0,5472
110547,0,0,5472
110556,0,0,5472
110565,0,0,5472
110574,0,0,5472
110583,0,0,5472
110592,0,0,5472
110608,0,0,5472
110617,0,0,11220
110635,7533,9402,11220
110644,7533,9402,11220
110653,7533,9402,11220
110662,7533,9402,11220
110671,7533,9402,11220
110680,7533,9402,.
110699,.,.,11220
110705,7533,9402,11220
110714,7533,9402,.
110778,.,.,7080
110918,6900,7080,15790
111009,14160,17771,14723
111081,34830,36166,37684
111188,0,0,5472
111391,.,.,.
111434,624,732,1013
111461,780,624,864
111887,728,728,1060
111896,624,728,1008
111920,0,0,0
111939,676,676,864
111948,35790,37500,39200
111966,11200,11200,10116
112075,24650,25400,26700
112084,20580,21610,22690
112127,.,.,.
112172,780,780,1080
112190,0,0,0
112251,.,.,.
112260,38275,39995,41995
112312,7038,6432,.
112385,624,624,864
112394,17856,18744,19488
112446,45360,45892,19500
112525,.,.,.
112561,624,624,864
112570,16500,16785,17685
112686,624,1248,1728
112826,738,738,1008
113096,0,0,0
113111,0,624,864
113193,820,820,676
113218,754,754,1044
113236,624,624,864
113333,765,765,1080
113537,11500,11500,11500
113573,728,728,1008
113582,15700,16800,18480
113607,14400,14860,15294
113634,738,738,1008
113698,33540,35220,36900
113704,.,.,.
113856,698,698,958
113980,650,1248,1728
114114,.,.,.
114266,728,728,1008
114354,25011,25011,25469
114372,19900,19900,21775
114390,25011,25011,25469
114415,25011,25011,25469
114433,0,0,0
114549,.,.,.
114585,.,.,.
114716,765,765,1080
114734,.,.,.
114789,624,624,864
114813,23640,23640,24520
114840,.,.,.
114859,624,624,864
114938,624,676,936
115001,624,624,864
115083,13440,13680,13920
115126,624,624,864
115214,.,.,.
115296,754,754,1044
115393,780,736,1080
115409,38222,40133,42140
115454,12240,12975,12975
115472,12240,12975,12975
115490,12240,12975,12975
115515,12240,12975,12975
115533,12240,12975,12975
115728,27000,28350,30050
115746,.,.,.
115755,0,0,5472
115773,9648,10116,10620
115861,733,733,1008
116226,15950,15950,17950
116439,624,793,1103
116466,16848,17748,17748
116475,16848,17748,17748
116484,16848,17748,17748
116624,.,.,14400
116712,16680,19200,24744
116846,21408,23568,864
117052,624,624,12000
117104,12000,12000,18648
117113,24144,18648,31300
117140,28250,29800,23730
117168,21600,22600,936
117195,675,675,1008
117247,728,728,864
117274,624,624,.
117520,.,.,8845
117557,8845,8845,12708
117575,12204,12204,26136
117627,23637,24840,26400
117636,25200,25680,1008
117645,728,728,.
117672,.,12000,958
117690,698,698,958
117706,698,698,958
117715,698,698,958
117724,698,698,958
117733,698,698,26260
117751,24280,25250,958
117788,698,698,.
117803,.,.,958
117867,698,698,1008
117894,738,738,18648
117928,19765,18648,36912
117946,34730,35740,1080
118347,780,780,27396
118541,24052,25134,864
118684,624,624,34476
118693,31720,33150,864
118709,.,.,1008
118718,624,624,38066
118772,728,728,864
118888,35196,36428,864
118912,624,624,864
118930,624,624,32800
118976,624,624,864
119058,31000,32000,780
119067,624,624,824
119137,780,780,30696
119164,624,624,1080
119173,27840,29232,18000
119216,780,780,23175
119234,12240,17000,864
119270,23100,22500,14364
119331,624,624,14904
119544,6440,17513,13536
119605,10728,13428,7608
119678,.,15560,11376
119775,20400,12096,.
120166,7200,6720,22995
120184,26830,11088,7200
120254,37970,.,29610
120290,780,21900,41860
120342,624,7200,864
120403,30660,28200,864
120421,780,39870,34454
120537,21560,624,780
120698,12523,624,23600
120740,.,32200,13731
120768,20832,780,.
120795,.,22890,17496
120838,14080,13140,.
120865,23844,.,18740
120883,31730,21864,25740
120944,.,.,35770
120953,0,15400,1008
120971,772,24996,1008
121044,676,33600,912
121071,13440,.,13440
121150,37730,728,40500
121257,35840,772,38832
121275,24300,672,25120
121309,25300,13440,27700
121345,36710,38960,39572
121363,624,37520,1008
121381,13957,25120,14765
121619,624,26500,864
121628,.,38087,.
121691,33594,728,37002
121707,624,14062,864
121886,624,624,864
121901,780,.,1080
121983,18360,35240,12240
122117,.,624,6612
122180,0,624,0
122205,624,780,728
122287,.,12960,37648
122296,34148,.,864
122339,624,0,15512
122366,13820,728,864
122375,624,35686,864
122384,624,624,5472
122409,0,14440,38150
122436,35870,624,34046
122454,30880,624,36500
122506,33000,0,5472
122597,0,36950,.
122603,.,32424,37040
122612,34430,34900,.
122649,.,0,864
122658,624,.,14125
122685,12450,36000,14125
122694,12450,.,20422
122728,18717,624,1008
122746,728,12825,5472
122755,0,13318,624
122791,624,18717,10957
122843,13302,728,14153
122889,728,0,11309
122931,36000,624,1008
122977,624,13479,39048
123013,707,728,864
123095,.,37368,980
123165,38486,624,.
123217,624,708,41736
123280,8800,.,728
123299,624,40236,9600
123341,624,16011,744
123396,10000,624,864
123448,.,9600,10000
123457,20400,624,.
123484,624,624,21600
123509,790,10000,864
123527,0,.,1080
123554,33760,21000,0
123563,780,624,37000
123572,0,780,1080
123633,7650,0,5472
123651,25452,35280,7650
123800,502,728,27400
123855,.,0,1008
123916,.,7650,.
123943,.,26342,.
123952,25000,728,7500
123961,38570,.,30250
123970,.,.,42162
124113,780,.,.
124283,.,27500,1080
124292,22400,40384,.
124487,8500,.,22850
125028,780,780,10305
125091,624,.,780
125170,728,22400,.
